,crimerate,is_crimerate,is_hero,lat,long,name,year
92,218.06,1,0,40.9848784,-72.61511689999999,Suffolk County,1978
93,1333.71,1,0,27.950575,-82.4571776,Tampa,1978
94,534.93,1,0,32.2226066,-110.9747108,Tucson,1978
95,193.22,1,0,36.8529263,-75.97798499999999,Virginia Beach,1978
96,1411.72,1,0,38.9071923,-77.0368707,DC,1978
97,472.3,1,0,37.68717609999999,-97.33005299999999,Wichita,1978
98,472.3,1,0,39.011902,-98.4842465,KS,1978
0,,0,1,40.7127753,-74.0059728,Ant-Man II,1979
1,,0,1,25.7491968,-80.2635411,Ant-Man II,1979
2,,0,1,27.6648274,-81.5157535,Ant-Man II,1979
3,,0,1,25.7826123,-80.1340772,Ant-Man II,1979
4,,0,1,25.7616798,-80.1917902,Ant-Man II,1979
